epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,165.114,1.46434,3.06492,1.49839,0.00324,0.89327,0.42707,0.31022,1.13592,3.49505,1.2437,0.00031673,0.00031673,0.00031673
2,315.132,1.23021,2.20552,1.37226,0.00319,0.91959,0.43841,0.2365,1.20744,3.83026,1.49763,0.000643694,0.000643694,0.000643694
3,563.605,1.2337,2.08703,1.40119,0.9113,0.49561,0.63294,0.4368,1.26382,2.61157,1.38666,0.000964056,0.000964056,0.000964056
4,783.977,1.25231,1.97981,1.36682,0.30048,0.54532,0.35614,0.17995,1.99059,7.45634,1.96759,0.00127782,0.00127782,0.00127782
5,1031.81,1.29289,1.81319,1.39946,0.77924,0.72232,0.77637,0.55043,1.1406,2.66562,1.19492,0.00158498,0.00158498,0.00158498
6,1187.06,1.30779,1.82151,1.41521,0.61459,0.7076,0.73123,0.44602,1.28422,3.08852,1.48076,0.00158448,0.00158448,0.00158448
7,1337.27,1.27236,1.70709,1.39165,0.91305,0.80054,0.80331,0.61725,1.07546,1.68918,1.22164,0.00156798,0.00156798,0.00156798
8,3844.2,1.205,1.50645,1.32614,0.81743,0.73307,0.7174,0.52552,1.13774,2.49054,1.25712,0.00155148,0.00155148,0.00155148
9,4003.87,1.21337,1.46031,1.32429,0.84619,0.78655,0.76814,0.54956,1.15501,1.76242,1.27765,0.00153497,0.00153497,0.00153497
10,4157.37,1.18609,1.40956,1.30944,0.9727,0.77712,0.82164,0.62286,1.05245,1.25937,1.28539,0.00151847,0.00151847,0.00151847
11,4308,1.26961,1.56303,1.38279,0.85832,0.75573,0.80534,0.57425,1.2005,1.23305,1.3428,0.00150197,0.00150197,0.00150197
12,4457.77,1.1787,1.4838,1.30278,0.86039,0.73246,0.79279,0.59867,1.14381,1.29758,1.23068,0.00148546,0.00148546,0.00148546
13,4608.41,1.18017,1.30373,1.32167,0.82597,0.76105,0.79584,0.59235,1.09397,1.24708,1.23386,0.00146896,0.00146896,0.00146896
14,4762.18,1.17076,1.34707,1.32502,0.93526,0.83297,0.85717,0.63803,1.04779,1.29189,1.22589,0.00145246,0.00145246,0.00145246
15,4912.29,1.27675,1.4128,1.38681,0.91025,0.83918,0.86168,0.65062,1.08258,1.03441,1.20655,0.00143595,0.00143595,0.00143595
16,5304.01,1.17509,1.25848,1.30748,0.92269,0.80081,0.86905,0.62588,1.12756,1.05267,1.2502,0.00141945,0.00141945,0.00141945
17,5457.27,1.15908,1.23827,1.32819,0.98508,0.83918,0.86245,0.63514,1.16302,0.89876,1.28477,0.00140295,0.00140295,0.00140295
18,5606.07,1.08102,1.12988,1.24209,0.93646,0.78634,0.86161,0.64822,1.14021,0.96064,1.29842,0.00138644,0.00138644,0.00138644
19,5754.3,1.07172,1.14718,1.25003,0.90804,0.80632,0.8533,0.60682,1.15447,1.12612,1.37703,0.00136994,0.00136994,0.00136994
20,6128.96,1.16842,1.17405,1.28852,0.88455,0.83198,0.85762,0.65023,1.04059,0.81107,1.20507,0.00135344,0.00135344,0.00135344
21,6605.81,1.12364,1.11848,1.25797,0.9539,0.81287,0.86361,0.67139,0.98036,0.80355,1.14544,0.00133693,0.00133693,0.00133693
22,6697.41,1.13391,1.12926,1.27717,0.98628,0.80954,0.85344,0.66034,1.04335,0.76417,1.21721,0.00132043,0.00132043,0.00132043
23,6787.9,1.14069,1.13872,1.27084,1,0.7913,0.88844,0.66503,1.02138,0.83808,1.17017,0.00130393,0.00130393,0.00130393
24,6880.45,1.08078,1.08853,1.25853,0.90591,0.83513,0.86328,0.6483,1.05111,0.7777,1.25405,0.00128742,0.00128742,0.00128742
25,6977.96,1.06588,1.0947,1.24855,0.89569,0.83918,0.88525,0.66661,1.02921,0.76319,1.19546,0.00127092,0.00127092,0.00127092
26,7073.99,1.04997,0.99786,1.22788,0.8236,0.83918,0.83169,0.63928,0.99347,0.84105,1.19452,0.00125442,0.00125442,0.00125442
27,7164.86,1.06504,1.06766,1.24161,0.94629,0.83918,0.89332,0.65248,1.06166,0.70702,1.27004,0.00123791,0.00123791,0.00123791
28,7256.35,1.08351,0.97168,1.26129,0.95876,0.83918,0.88665,0.68224,1.00091,0.70096,1.22609,0.00122141,0.00122141,0.00122141
29,7348.33,1.00156,0.90735,1.20002,0.94993,0.83918,0.87088,0.67077,1.03001,0.68453,1.23952,0.00120491,0.00120491,0.00120491
30,7439.66,1.06996,1.01087,1.25275,0.91305,0.85776,0.87351,0.63764,1.05896,0.73333,1.28116,0.0011884,0.0011884,0.0011884
31,7531.29,1.06761,0.99571,1.24808,0.85985,0.85603,0.8472,0.61033,1.11792,0.92414,1.30858,0.0011719,0.0011719,0.0011719
32,7627.08,1.0553,1.00428,1.24388,0.94264,0.80871,0.89645,0.65873,0.99598,0.68565,1.19414,0.0011554,0.0011554,0.0011554
33,7871.06,1.03235,0.98046,1.25031,0.94287,0.78655,0.86488,0.65564,0.98539,0.68097,1.18136,0.00113889,0.00113889,0.00113889
34,7962.78,0.99968,0.91986,1.21286,0.94062,0.86116,0.87952,0.66022,1.02825,0.64033,1.22331,0.00112239,0.00112239,0.00112239
35,8054.74,1.01297,0.94816,1.22685,0.90793,0.86478,0.90313,0.67669,0.93012,0.64198,1.1681,0.00110589,0.00110589,0.00110589
36,8634.6,1.013,0.96449,1.221,0.91739,0.83489,0.90464,0.6781,0.99534,0.71172,1.20731,0.00108938,0.00108938,0.00108938
